imdb_title_id,title,director
tt0016332,Le sette probabilità,Buster Keaton
tt0016338,She,"""Leander De Cordova, G.B. Samuelson"""
tt0016377,Soul-Fire,John S. Robertson
tt0016392,Die Stadt ohne Juden,H.K. Breslauer
tt0016394,Stage Struck,Allan Dwan
tt0016395,Stella Dallas,Henry King
tt0016461,Tumbleweeds,"""King Baggot, William S. Hart"""
tt0016473,Il trio infernale,Tod Browning
tt0016480,The Vanishing American,George B. Seitz
tt0016481,Varieté,Ewald André Dupont
tt0016491,Visages d'enfants,Jacques Feyder
tt0016493,Il viaggio immaginario,René Clair
tt0016544,Il mago di Oz,Larry Semon
tt0016545,Wolfblood,"""George Chesebro, Bruce Mitchell"""
tt0016548,A Woman of the World,Malcolm St. Clair
tt0016559,Zakroyshchik iz Torzhka,Yakov Protazanov
tt0016560,Zander the Great,George W. Hill
tt0016563,L'erede dei Grishus,Arthur von Gerlach
tt0016627,Bardelys il magnifico,King Vidor
tt0016629,The Bat,Roland West
tt0016630,Se perdo la pazienza...,Buster Keaton
tt0016634,Beau Geste,Herbert Brenon
tt0016640,The Bells,James Young
tt0016643,The Better 'Ole,Charles Reisner
tt0016646,Beverly of Graustark,Sidney Franklin
tt0016654,Il pirata nero,Albert Parker
tt0016655,Il corvo,Tod Browning
tt0016664,L'aquila azzurra,John Ford
tt0016669,La Bohème,King Vidor
tt0016672,The Boob,William A. Wellman
tt0016690,Brown of Harvard,Jack Conway
tt0016691,Brudeferden i Hardanger,Rasmus Breistein
tt0016762,Dancing Mothers,Herbert Brenon
tt0016804,Don Juan,Alan Crosland
tt0016822,Ella Cinders,Alfred E. Green
tt0016827,Eve's Leaves,Paul Sloane
tt0016832,Exit Smiling,Sam Taylor
tt0016847,Faust,F.W. Murnau
tt0016854,Le disgrazie di adamo,Howard Hawks
tt0016871,Fine Manners,"""Richard Rosson, Lewis Milestone"""
tt0016884,La carne e il diavolo,Clarence Brown
tt0016895,Il re degli straccioni,Sam Taylor
tt0016914,Geheimnisse einer Seele,Georg Wilhelm Pabst
tt0016939,The Great K & A Train Robbery,Lewis Seiler
tt0016947,Hands Up!,Clarence G. Badger
tt0016953,La montagna dell'amore,Arnold Fanck
tt0016971,His First Flame,Harry Edwards
tt0017004,It's the Old Army Game,A. Edward Sutherland
tt0017028,Kid Boots,Frank Tuttle
tt0017029,Kiki,Clarence Brown
tt0017048,Una pagina di follia,Teinosuke Kinugasa
tt0017075,Il pensionante,Alfred Hitchcock
tt0017082,Love 'Em and Leave 'Em,Frank Tuttle
tt0017096,Maciste all'inferno,Guido Brignone
tt0017103,The Magician,Rex Ingram
tt0017119,Mantrap,Victor Fleming
tt0017120,Mare Nostrum,Rex Ingram
tt0017128,La madre,Vsevolod Pudovkin
tt0017136,Metropolis,Fritz Lang
tt0017159,Miss Mend,"""Boris Barnet, Fyodor Otsep"""
tt0017184,My Lady of Whims,Dallas M. Fitzgerald
tt0017195,Namus,Amo Bek-Nazaryan
tt0017196,Nanà,Jean Renoir
tt0017198,Nell Gwyn,Herbert Wilcox
tt0017226,Old Ironsides,James Cruze
tt0017271,Secondo la legge,Lev Kuleshov
tt0017293,Protsess o tryokh millionakh,Yakov Protazanov
tt0017329,The Road to Mandalay,Tod Browning
tt0017338,Der Rosenkavalier,Robert Wiene
tt0017350,La lettera rossa,Victor Sjöström
tt0017354,Il mostro del mare,Millard Webb
tt0017374,La corsa a ostacoli di Shamrock,John Ford
tt0017378,Shinel,"""Grigoriy Kozintsev, Leonid Trauberg"""
tt0017382,The Show-Off,Malcolm St. Clair
